"key","star_name","planet_letter","pl_pnum","orbital_period","radius","st_teff","st_mass","st_rad","rowupdate","light_years"
"dummy","dummy","n",1,1,1,1,1,"1","5/10/1778",1
"11 Com_b","11 Com","b",1,326.03,NA,4742,2.7,NA,"5/14/2014",360.7937672
"11 UMi_b","11 UMi","b",1,516.22,NA,4340,1.8,NA,"5/14/2014",389.6585732
"14 And_b","14 And","b",1,185.84,NA,4813,2.2,NA,"5/14/2014",249.1505684
"14 Her_b","14 Her","b",1,1773.4,NA,5311,0.9,NA,"5/14/2014",59.197314
"16 Cyg B_b","16 Cyg B","b",1,798.5,NA,5674,0.99,NA,"9/10/2015",69.8299996
"18 Del_b","18 Del","b",1,993.3,NA,4979,2.3,NA,"5/14/2014",238.420036
"1RXS J160929.1-210524_b","1RXS J160929.1-210524","b",1,NA,NA,4060,0.85,NA,"4/1/2015",472.9262
"24 Sex_b","24 Sex","b",2,452.8,NA,5098,1.54,NA,"5/14/2014",243.9320724
"24 Sex_c","24 Sex","c",2,883,NA,5098,1.54,NA,"5/14/2014",243.9320724
